target_step_seconds,cell_i0,cell_i1,alpha,stage,variable,target_value,scale,weight
6998400,36,37,0,2,PO4,1.29157249,2.525024217,0.08571428571
7344000,1,2,0,2,PO4,1.356151114,2.525024217,0.08333333333
7344000,13,14,0,2,PO4,1.679044236,2.525024217,0.04166666667
7344000,36,37,0,2,PO4,1.420729738,2.525024217,0.08571428571
7344000,45,46,0,2,PO4,2.034226671,2.525024217,0.125
7344000,58,59,0,2,PO4,0.9686793671,2.525024217,0.02941176471
7344000,79,80,0,2,PO4,1.614465612,2.525024217,0.04347826087
8553600,23,24,0,2,PO4,0.6457862448,2.525024217,0.0652173913
8553600,36,37,0,2,PO4,0.6457862448,2.525024217,0.08571428571
8640000,58,59,0,2,PO4,0.9686793671,2.525024217,0.02941176471
8726400,13,14,0,2,PO4,1.420729738,2.525024217,0.04166666667
8726400,79,80,0,2,PO4,2.082660639,2.525024217,0.04347826087
9763200,58,59,0,2,PO4,0.9686793671,2.525024217,0.02941176471
9849600,36,37,0,2,PO4,1.29157249,2.525024217,0.08571428571
9936000,23,24,0,2,PO4,0.6457862448,2.525024217,0.0652173913
10108800,1,2,0,2,PO4,1.29157249,2.525024217,0.08333333333
10108800,13,14,0,2,PO4,1.113981272,2.525024217,0.04166666667
10108800,36,37,0,2,PO4,1.824346141,2.525024217,0.08571428571
10108800,45,46,0,2,PO4,1.259283177,2.525024217,0.125
10108800,58,59,0,2,PO4,1.420729738,2.525024217,0.02941176471
10108800,79,80,0,2,PO4,1.501453019,2.525024217,0.04347826087
10972800,23,24,0,2,PO4,0.9686793671,2.525024217,0.0652173913
10972800,36,37,0,2,PO4,0.9686793671,2.525024217,0.08571428571
11059200,58,59,0,2,PO4,0.9686793671,2.525024217,0.02941176471
11577600,13,14,0,2,PO4,2.066515983,2.525024217,0.04166666667
11577600,79,80,0,2,PO4,1.275427833,2.525024217,0.04347826087
12182400,23,24,0,2,PO4,0.9686793671,2.525024217,0.0652173913
12182400,36,37,0,2,PO4,1.614465612,2.525024217,0.08571428571
12268800,58,59,0,2,PO4,0.9686793671,2.525024217,0.02941176471
12787200,1,2,0,2,PO4,2.534711011,2.525024217,0.08333333333
12787200,13,14,0,2,PO4,3.051340006,2.525024217,0.04166666667
12787200,36,37,0,2,PO4,4.197610591,2.525024217,0.08571428571
12787200,45,46,0,2,PO4,6.667742977,2.525024217,0.125
12787200,58,59,0,2,PO4,2.841459477,2.525024217,0.02941176471
12787200,79,80,0,2,PO4,1.630610268,2.525024217,0.04347826087
13392000,23,24,0,2,PO4,0.6457862448,2.525024217,0.0652173913
13392000,36,37,0,2,PO4,1.29157249,2.525024217,0.08571428571
13478400,58,59,0,2,PO4,1.29157249,2.525024217,0.02941176471
13996800,13,14,0,2,PO4,2.211817888,2.525024217,0.04166666667
13996800,79,80,0,2,PO4,1.566031644,2.525024217,0.04347826087
14601600,23,24,0,2,PO4,0.9686793671,2.525024217,0.0652173913
